bas,Basaa,bas,bas,ባሳ,الباسا,বাছা,bas,basaa,basa,Ɓàsàa,басаа,bas,bas,баса,bas,বাসা,bas,basaa,बास्क़्,basa,basa,𑄝𑄥,баса,bas,bas,ᏆᏌᎠ,باسا,basa,Basâeg,basaa,bas,Bassa,bas,bas,basaa,bas,bas,bas,bas,bas,Μπάσα,Basaa,bas,basaa,basaa,basaa,bas,باسایی,bas,basaa,Basaa,basaa,bassa,bas,Basa,Basáis,Basaa,basaa,Basaa,બસા,bas,bas,Basaa,bas,בסאא,बसा,basa,basaa,basza,բասաա,basaa,Basa,bas,bas,basa,basa,バサ語,bas,bas,Basaa,ბასა,bas,bas,bas,basa,bas,bas,баса тілі,bas,bas,bas,បាសា,ಬಸಾ,바사어,बस्सा,باسا,bas,bas,Basaa-Schprohche,bas,bas,басаача,bas,Basaa-Sprooch,bas,bas,bas,ບາຊາ,bas,basų,bas,bas,bas,basu,bas,bas,bas,bas,bas,bas,bas,bas,баса,ബസ,басаа,bas,बसा,Basaa,Basa,bas,ဘာဆာ,bas,bas,basaa,bas,बासा,Basa,bas,basa,Shwóŋò pʉa mbasǎ,basaa,bas,bas,bas,ବାସା,bas,ਬਾਸਾ,Básaa Lángwej,basaa,باسا,basa,Basaa Simi,basaa,bas,basaa,bas,баса,bas,bas,bas,bas,bas,bas,bas,basaa,باسا,bas,bas,bas,bas,bas,බසා,basa,basa,basaakielâ,bas,Basaa,basaisht,баса,bas,basa,Kibasaa,பாஸா,బసా,bas,bas,บาสา,ባሳ,basaa dili,lea fakapasaʻa,Basa Dili,bas,bas,bas,باساچە,баса,باسا,basa,bas,Tiếng Basaa,bas,bas,bas,bas,bas,bas,bas,Èdè Basaa,巴薩文,bas,巴萨语,isi-Basaa
be,Belarussies,Bɛ̀làlusàn,Belarus kasa,ቤላራሻኛ,البيلاروسية,বেলাৰুছীয়,Kibelarusi,bielorrusu,belarus,Hɔp u bièlòrûs,беларуская,Ichi Belarus,Hibelarusi,беларуски,biyelorisikan,বেলারুশিয়,be,belaruseg,बैलोरूसियन्,bjeloruski,belarús,𑄝𑄬𑄣𑄢𑄪𑄥𑄨𑄠𑄧,белорусийн,be,Oruberarusi,ᏇᎳᎷᏏ,بیلاڕووسی,běloruština,Belarwseg,hviderussisk,Kibelarusi,Belarussisch,Belaruus senni,be,běłorušćina,be,belarus,བེལ་ཨ་རུས་ཁ,Kĩmbelarusi,belarusiagbe,Λευκορωσικά,Belarusian,belorusa,bielorruso,valgevene,bielorrusiera,Ǹkɔ́bɔ belarúsian,بلاروسی,Belaruuse,valkovenäjä,Belarusian,hvitarussiskt,biélorusse,bielorùs,Wyt-Russysk,Bealarúisis,Bealaruisis,belaruso,Wiissrussisch,બેલારુશિયન,Kibelarusi,be,Belarusanci,be,בלארוסית,बेलारूसी,bjeloruski,běłorušćina,belarusz,բելառուսերեն,bielorusso,Belarusia,Belarusianụ,be,hvítrússneska,bielorusso,ベラルーシ語,be,Kyibelarusi,Belarus,ბელარუსული,Tabilarusit,Kibelarusi,Chibelalusi,bielorusu,Belaruus senni,Kibelarusi,беларусь тілі,be,be,kutitab Belarusa,បេឡារុស,ಬೆಲರೂಸಿಯನ್,벨라루스어,बैलोरुसियन्,بیلَروٗشیَن,Kibelaausi,ribɛlɔrís,Wiißrußesch,belarusî,be,беларусча,Kɨberalúusi,Wäissrussesch,Lubelarusi,Belarus Iyápi,libyelorisí,ເບລາຣັສຊຽນ,بئلاروٙسی,baltarusių,Belarusi,Kibelarusi,Kibelarusi,baltkrievu,be,nkʉtʉ́k ɔ́ɔ̄ lBelarusi,Kĩbelarusi,bieloris,Bielorosy,Ibelausi,be,be,белоруски,ബെലാറുഷ്യൻ,беларусь,be,बेलारुशियन,Belarus,Belarussu,belarussiya,ဘီလာရုစ်,بلاروسی,Belarusanǁî gowab,hviterussisk,isi-Bhelarashiyani,बेलारुसी,Belarussisch,Kiɛl belarussie,kviterussisk,be,hviterussisk,Thok bälärutha,Oruberarusi,Afaan Belarusia,ବେଲାରୁଷିଆନ୍,be,ਬੇਲਾਰੂਸੀ,Bẹlarúsiá Lángwej,białoruski,بېلاروسي,bielorrusso,Bielorruso Simi,bieloruss,Ikibelarusiya,belarusă,Kibelarusi,белорусский,Ikibelarusiya,Kyibelarusi,be,Бөлөрүүстүү,Kibelarusi,be,Ishibelalusi,bielorussu,بيلاروسي,vilges-ruoššagiella,bielo-russo,Belaruus senni,Bielörûsi,ⵜⴰⴱⵉⵍⴰⵔⵓⵙⵜ,බෙලරුසියානු,bieloruština,beloruščina,vielgisruošâkielâ,chiBelarusi,Beleruusiyaan,bjellorusisht,белоруски,be,vitryska,Kibelarusi,பெலாருஷியன்,బెలారుషియన్,Kibelarusi,белорусӣ,เบลารุส,ቤላሩስኛ,belarus dili,lea fakapelalusi,Belarusça,белорус,Belaruus senni,Tabilarusit,بېلارۇسچە,білоруська,بیلاروسی,belarus,ꔆꕞꖩꔻ,Tiếng Belarus,Kyibelarusi,Wísrussiš,Belaris,be,Olubelarusi,pielúse,בעלאַרוסיש,Èdè Belarusi,白俄羅斯文,ⵜⴰⴱⵉⵍⴰⵔⵓⵙⵜ,白俄罗斯语,isi-Belarusian
bem,Bemba,bem,bem,ቤምባ,البيمبا,বেম্বা,bem,bemba,bemba,bem,бемба,Ichibemba,bem,бемба,bem,বেম্বা,bem,bemba,बेंबा,bemba,bemba,𑄝𑄬𑄟𑄴𑄝,бемба,bem,bem,ᏇᎹᏆ,بێمبا,bembština,Bembeg,bemba,bem,Bemba,bem,bem,bemba,bem,bem,bem,bem,bembagbe,Μπέμπα,Bemba,bem,bemba,bemba,bembera,bem,بمبایی,bem,bemba,Bemba,bemba,bemba,bem,Bemba,Beimbis,Bemba,bemba,Bemba,બેમ્બા,bem,bem,Bemba,bem,במבה,बेम्बा,bemba,bemba,bemba,բեմբա,bemba,Bemba,bem,bem,bemba,wemba,ベンバ語,bem,bem,Bemba,ბემბა,bem,bem,bem,bemba,bem,bem,бемба тілі,bem,bem,bem,បេមបា,ಬೆಂಬಾ,벰바어,बेम्बा,بیمبا,bem,bem,Bemba,bembayî,bem,бембача,bem,Bemba-Sprooch,bem,bem,bem,ເບັມບາ,بیما,bembų,bem,bem,bem,bembu,bem,bem,bem,bem,bem,bem,bem,bem,бемба,ബേംബ,бемба,bem,बेम्बा,Bemba,Bemba,bem,ဘိန်ဘာ,بمبایی,bem,bemba,bem,बेम्बा,Bemba,bem,bemba,bem,bemba,bem,bem,bem,ବେମ୍ବା,bem,ਬੇਮਬਾ,Bẹ́mba Lángwej,bemba,بيمبا,bemba,Bemba Simi,bemba,bem,bemba,bem,бемба,bem,bem,bem,bem,bem,bem,bem,bemba,بيمبا,bem,bem,bem,bem,bem,බෙම්බා,bemba,bemba,bembakielâ,bem,Bemba,bembaisht,бемба,bem,bemba,Kibemba,பெம்பா,బెంబా,bem,бемба,เบมบา,ቤምባ,bemba dili,lea fakapēmipa,Bemba,бемба,bem,bem,بېمباچە,бемба,بیمبا,bemba,bem,Tiếng Bemba,bem,bem,Bemba,bem,bem,bem,bem,Èdè Béḿbà,別姆巴文,bem,本巴语,isi-Bemba
bez,Bena,bez,bez,ቤና,بينا,বেনা,bez,bena,bena,bez,бена,bez,Hibena,бена,bez,বেনা,bez,bena,bez,bena,bena,𑄝𑄬𑄚,бена,bez,bez,ᏇᎾ,بێنا,bena,Bena,bena,bez,Bena,bez,bez,bena,bez,bez,bez,bez,benagbe,Μπένα,Bena,bez,bena,bena,benera,bez,بنایی,bez,bena,Bena,bena,bena,bez,Bena,Beinis,Bena,bena,bez,બેના,bez,bez,Bena,bez,בנה,बेना,bena,bena,bena,բենա,bena,Bena,Bena,bez,bena,bena,ベナ語,bez,bez,Bena,ბენა,bez,bez,bez,bena,bez,bez,бена тілі,bez,bez,bez,បេណា,ಬೆನ,베나어,बेना,bez,bez,bez,Bena,bez,bez,бенача,bez,Bena,bez,bez,bez,ບີນາ,بئنا,benų,bez,bez,bez,bena,bez,bez,bez,bez,bez,bez,bez,bez,бена,ബെനാ,бена,bez,बेना,Bena,Bena,bez,ဘီနာ,بنایی,bez,bena,bez,बेना,Bena,bez,bena [Tanzania],bez,bena,bez,bez,bez,ବେନା,bez,ਬੇਨਾ,Bẹ́na Lángwej,bena,بينا,bena,Bena Simi,bena,bez,bena,bez,бена,bez,bez,bez,bez,bez,bez,bez,bena,بينا,bez,bez,bez,bez,bez,බෙනා,bena,benajščina,benakielâ,bez,Bena,benaisht,бена,bez,bena,Kibena,பெனா,బెనా,bez,bez,เบนา,በና,bena dili,lea fakapena,Bena,bez,bez,bez,بېناچە,бена,بینا,bena,bez,Tiếng Bena,bez,bez,bez,bez,bez,bez,bez,Èdè Bẹ́nà,貝納文,bez,贝纳语,isi-Bena
bg,Bulgaars,Bùugɨlìa,Bɔlgeria kasa,ቡልጋሪኛ,البلغارية,বুলগেৰীয়,Kibulgaria,búlgaru,bolqar,Hɔp u bûlgâr,балгарская,Ichi Bulgariani,Hibulgaria,български,buligarikan,বুলগেরিয়,bg,bulgareg,बल्गैरियन्,bugarski,búlgar,𑄝𑄪𑄣𑄴𑄉𑄬𑄢𑄨𑄠𑄧,болгарийн,bg,Oruburugariya,ᏊᎵᎨᎵᎠᏂ,بۆلگاری,bulharština,Bwlgareg,bulgarsk,Kibulgaria,Bulgarisch,Bulagaari senni,bg,bulgaršćina,bg,bulgaari,བཱལ་གེ་རི་ཡཱན་ཁ,Kĩbulgaria,bulgariagbe,Βουλγαρικά,Bulgarian,bulgara,búlgaro,bulgaaria,bulgariera,Ǹkɔ́bɔ buləgárian,بلغاری,Bulgariire,bulgaria,Bulgarian,bulgarskt,bulgare,bulgar,Bulgaarsk,Bulgáiris,Bulgarais,búlgaro,Bulgaarisch,બલ્ગેરિયન,Kibulgaria,bg,Bulgariyanci,bg,בולגרית,बुल्गारियाई,bugarski,bołharšćina,bolgár,բուլղարերեն,bulgaro,Bulgaria,Bọlụgarịa,bg,búlgarska,bulgaro,ブルガリア語,bg,Kyibulgaryia,Bulgaria,ბულგარული,Tabulgarit,Kibulgaria,Chibulgalia,búlgaru,Bulagaari senni,Kibulgaria,болгар тілі,bg,bg,kutitab Bulgaria,ប៊ុលហ្ការី,ಬಲ್ಗೇರಿಯನ್,불가리아어,बल्गेरियन,بینا,Kibulgalia,ribulgarí,Bulljahresch,bulgarî,bg,болгарча,Kɨbulugária,Bulgaresch,Lubulugariya,Bulgar Iyápi,libiligali,ບັງກາຣຽນ,بولغاری,bulgarų,Bulegari,Kibulgaria,Kibulgaria,bulgāru,bg,nkʉtʉ́k ɔ́ɔ̄ lBulgaria,Kĩbulugĩria,bilgar,Biolgara,Ibulgaria,bg,bg,бугарски,ബൾഗേറിയൻ,болгар,bg,बल्गेरियन,Bulgaria,Bulgaru,bulgaria,ဘူလ်ဂေးရီးယား,بلغاری,Bulgariaǁî gowab,bulgarsk,isi-Bulgaria,बुल्गेरियाली,Bulgaars,Kiɛl bulgaria,bulgarsk,bg,bulgarsk,Thok bälga̱a̱riani,Oruburugariya,Afaan Bulgariya,ବୁଲଗେରିଆନ୍,болгайраг,ਬੁਲਗਾਰੀਆਈ,Bọlgériá Lángwej,bułgarski,بلغاري,búlgaro,Bulgaro Simi,bulgar,Ikinyabuligariya,bulgară,Kibulgaria,болгарский,Urunyabuligariya,Kyibulgaryia,bg,Булҕаардыы,Kibulgaria,bg,Ishibulugalia,bùlgaru,بلغاريائي,bulgáriagiella,búlgaro,Bulagaari senni,Bulugäri,ⵜⴰⴱⵍⵖⴰⵔⵉⵜ,බල්ගේරියානු,bulharčina,bolgarščina,bulgariakielâ,chiBulgarian,Bulgeeriyaan,bullgarisht,бугарски,bg,bulgariska,Kibulgaria,பல்கேரியன்,బల్గేరియన్,Kibulgaria,булғорӣ,บัลแกเรีย,ቡልጋርኛ,bolgar dili,lea fakapulukalia,Bulgarca,болгар,Bulagaari senni,Tabelɣarit,بۇلغارچە,болгарська,بلغاری,bolgar,ꗂꔠꗸꘋ,Tiếng Bulgaria,Kyibulgaryia,Bulgariš,Bilgaar,bg,Olubulugariya,bulgálɛ,בולגאַריש,Èdè Bugaria,保加利亞文,ⵜⴰⴱⵍⵖⴰⵔⵉⵜ,保加利亚语,isi-Bulgari
bm,Bambara,bm,bm,ባምባርኛ,البامبارا,বামবাৰা,bm,bambara,bambara,bm,бамбара,bm,bm,бамбара,bamanakan,বামবারা,bm,bambara,बांबारा,bambara,bambara,𑄝𑄟𑄴𑄝𑄢,бамбара,bm,bm,ᏆᎻᏆᎳ,بامبارا,bambarština,Bambareg,bambara,bm,Bambara,bm,bm,bambara,bm,bm,bm,bm,bambaragbe,Μπαμπάρα,Bambara,bm,bambara,bambara,bambarera,bm,بامبارایی,bm,bambara,Bambara,bambara,bambara,bm,Bambara,Bambairis,Bambara,bambara,Bambara,બામ્બારા,bm,bm,Bambara,bm,במבארה,बाम्बारा,bambara,bambara,bambara,բամբարա,bambara,Bambara,Bambara,bm,bambara,bambara,バンバラ語,bm,bm,Bambara,ბამბარა,bm,bm,bm,bambara,bm,bm,бамбара тілі,bm,bm,bm,បាម្បារា,ಬಂಬಾರಾ,밤바라어,बंबारा,بَمبارا,bm,bm,Bambara,bambarayî,bm,бамбарача,bm,Bambara-Sprooch,bm,bm,bm,ບາມບາຣາ,بامبارا,bambarų,bm,bm,bm,bambaru,bm,bm,bm,bm,bm,bm,bm,bm,бамбара,ബംബാറ,бамбара,bm,बाम्बारा,Bambara,Bambara,bm,ဘန်ဘာရာ,بامبارایی,bm,bambara,bm,बाम्बारा,Bambara,bm,bambara,bm,bambara,bm,bm,bm,ବାମ୍ବାରା,bm,ਬੰਬਾਰਾ,Bambára Lángwej,bambara,بمبارا,bambara,Bambara Simi,bambara,bm,bambara,bm,бамбара,bm,bm,bm,bm,bm,bm,bm,bambara,بمبارا,bm,bm,bm,bm,bm,බම්බරා,bambarčina,bambarščina,bambarakielâ,bm,Bambaara,bambarisht,бамбара,bm,bambara,Kibambara,பம்பாரா,బంబారా,bm,bm,บัมบารา,ባምባራ,bamana,lea fakapamipala,Bambara,bm,bm,bm,بامباراچە,бамбара,بمبارا,bambara,bm,Tiếng Bambara,bm,bm,bm,bm,bm,bm,bm,Èdè Báḿbàrà,班巴拉文,bm,班巴拉语,isi-Bambara
bn,Bengaals,Bɨ̀ŋgalì,Bengali kasa,ቤንጋሊኛ,البنغالية,বাংলা,Kibangla,bengalín,benqal,Hɔp u bɛŋgàli,бенгальская,Ichi Bengali,Hibangla,бенгалски,bɛngalikan,বাংলা,bn,bengali,बंगला,bengalski,bengalí,𑄝𑄁𑄣,бенгалийн,Bangla,Orubengari,ᏇᏂᎦᎳ,بەنگلادێشی,bengálština,Bengaleg,bengali,Kibangla,Bengalisch,Bengali senni,bn,bengalšćina,bn,bengali,བངྒ་ལ་ཁ,Kĩbangla,Bengaligbe,Βεγγαλικά,Bangla,bengala,bengalí,bengali,bengalera,Ǹkɔ́bɔ bɛngalí,بنگالی,Bengali,bengali,Bangla,bangla,bengali,bengalês,Bengaalsk,Beangáilis,Bangla,bengalí,Bengalisch,બાંગ્લા,Kibangla,bn,Bengali,bn,בנגלית,बंगाली,bangla,bengalšćina,bangla,բենգալերեն,bengalese,Bengali,Bengali,bn,bengalska,bengalese,ベンガル語,bn,Kyibangla,Bengali,ბენგალური,Tabengalit,Kibangla,Chibangla,bengali,Bengali senni,Kibangla,бенгал тілі,bn,bn,kutitab Bengali,បង់ក្លាដែស,ಬಾಂಗ್ಲಾ,벵골어,बांग्ला,بَنگٲلۍ,Kibangla,ribɛngáli,Bängjahlesch,bengalî,bn,бангладешче,Kɨbangála,Bengalesch,Lubengali,Bengali Iyápi,libengali,ເບັງກາລີ,بأنگالی,bengalų,Bengali,Kibangla,Kibangla,bengāļu,bn,lnkʉtʉ́k ɔ́ɔ̄ lBengali,Kĩbangira,bengali,Bengali,Ibangla,bn,bn,бенгалски,ബംഗ്ലാ,бенгал,bn,बंगाली,Benggali,Bengali,bengalia,ဘင်္ဂါလီ,بنگالی,Bengaliǁî gowab,bengali,isi-Bhengali,बंगाली,Bengaals,Kiɛl bengalia,bengali,bn,bengali,Thok bängali,Orubengari,Afaan Baangladeshi,ବଙ୍ଗଳା,bn,ਬੰਗਾਲੀ,Bángla Lángwej,bengalski,بنگالي,bengali,Bangla Simi,bengal,Ikibengali,bengaleză,Kibangla,бенгальский,Ikibengali,Kyibangla,bn,Бенгаллыы,Kibangla,bn,Ishibangila,bengalesu,بنگلا,bengalgiella,bengali,Bengali senni,Bengäli,ⵜⴰⴱⵏⵖⴰⵍⵉⵜ,බෙංගාලි,bengálčina,bengalščina,banglakielâ,chiBengali,Bangladesh,bengalisht,бенгалски,bn,bengali,Kibengali,வங்காளம்,బంగ్లా,Kibangla,бинғолӣ,บังกลา,በንጋሊ,bengal dili,lea fakapāngilā,Bengalce,бенгали,Bengali senni,Tabinɣalit,بېنگالچە,бенгальська,بنگلہ,bengal,ꗩꕭꔷ,Tiếng Bangla,Kyibangla,Bengališ,Baŋla,bn,Olubengali,pengálɛ́ɛ,בענגאַליש,Èdè Bengali,孟加拉文,ⵜⴰⴱⵏⵖⴰⵍⵉⵜ,孟加拉语,isi-Bengali
bo,Tibettaans,bo,bo,ቲቤታንኛ,التبتية,তিব্বতী,bo,tibetanu,tibet,bo,тыбецкая,bo,bo,тибетски,bo,তিব্বতি,བོད་སྐད་,tibetaneg,तिब्बती,tibetanski,tibetà,𑄖𑄨𑄛𑄴𑄝𑄧𑄖𑄨,тибетхойн,bo,bo,ᏘᏇᏔᏂ,تەبەتی,tibetština,Tibeteg,tibetansk,bo,Tibetisch,bo,bo,tibetšćina,bo,bo,བོད་ཁ,bo,tibetagbe,Θιβετιανά,Tibetan,tibeta,tibetano,tiibeti,tibetera,bo,تبتی,bo,tiibet,Tibetan,tibetskt,tibétain,tibetan,Tibetaansk,Tibéidis,Tibeitis,tibetano,Tibeetisch,તિબેટીયન,bo,bo,Tibetan,bo,טיבטית,तिब्बती,tibetski,tibetšćina,tibeti,տիբեթերեն,tibetano,Tibet,Tibetan,bo,tíbeska,tibetano,チベット語,bo,bo,Tibet,ტიბეტური,bo,bo,bo,tibetanu,bo,bo,тибет тілі,bo,bo,bo,ទីបេ,ಟಿಬೇಟಿಯನ್,티베트어,तिबेटी,تِبتی,bo,bo,Tibehtesch,tîbetî,bo,тибетче,bo,Tibetesch,bo,Tibetan Iyápi,bo,ທິເບທັນ,تأبأتی,tibetiečių,bo,bo,bo,tibetiešu,bo,bo,bo,bo,bo,bo,bo,bo,тибетски,ടിബറ്റൻ,төвд,bo,तिबेटी,Tibet,Tibetjan,bo,တိဘက်,تبتی,bo,tibetansk,bo,तिब्बती,Tibetaans,bo,tibetansk,bo,tibetansk,bo,bo,bo,ତିବ୍ବତୀୟ,bo,ਤਿੱਬਤੀ,Tibẹ́tan,tybetański,تبتي,tibetano,Tibetano Simi,tibetan,bo,tibetană,bo,тибетский,bo,bo,bo,Тибиэттии,bo,bo,bo,tibetanu,تبيتائي,tibetagiella,bo,bo,bo,bo,ටිබෙට්,tibetčina,tibetanščina,tiibetkielâ,bo,Tibeetaan,tibetisht,тибетански,bo,tibetanska,Kitibeti,திபெத்தியன்,టిబెటన్,bo,тибетӣ,ทิเบต,ቲበታንኛ,tibet dili,lea fakatipeti,Tibetçe,тибет,bo,bo,تىبەتچە,тибетська,تبتی,tibet,bo,Tiếng Tây Tạng,bo,Tibetiš,Tibetan,bo,bo,bo,טיבעטיש,Tibetán,藏文,bo,藏语,isi-Tibetan
br,Bretons,br,br,ብሬቶንኛ,البريتونية,ব্ৰেটন,br,bretón,breton,br,брэтонская,br,br,бретонски,br,ব্রেটন,br,brezhoneg,ब्रटों,bretonski,bretó,𑄝𑄳𑄢𑄬𑄑𑄧𑄚𑄴,бретонийн,br,br,ᏇᏙᏂ,برێتونی,bretonština,Llydaweg,bretonsk,br,Bretonisch,br,br,bretonšćina,br,br,br,br,bretongbe,Βρετονικά,Breton,bretona,bretón,bretooni,bretoiera,br,برتون,br,bretoni,Breton,bretonskt,breton,breton,Bretonsk,Briotáinis,Breatnais,bretón,Brötoonisch,બ્રેટોન,br,br,Buretananci,br,ברטונית,ब्रेटन,bretonski,bretonšćina,breton,բրետոներեն,breton,Breton,Breton,br,bretónska,bretone,ブルトン語,br,br,Breton,ბრეტონული,br,br,br,bretãu,br,br,бретон тілі,br,br,br,ប្រ៊ីស្តុន,ಬ್ರೆಟನ್,브르타뉴어,ब्रेटन,بریٹَن,br,br,Bettohnesch,bretonî,br,бретончо,br,Bretonesch,br,br,br,ເບຣຕັນ,بئرئتون,bretonų,br,br,br,bretoņu,br,br,br,br,br,br,br,br,бретонски,ബ്രെട്ടൺ,бретон,br,ब्रेतॉन,Breton,Breton,br,ဘရီတွန်,برِتونی,br,bretonsk,br,ब्रेटन,Bretons,br,bretonsk,br,bretonsk,br,br,br,ବ୍ରେଟନ୍,br,ਬਰੇਟਨ,Brẹ́tọn Lángwej,bretoński,برېتون,bretão,Breton Simi,breton,br,bretonă,br,бретонский,Inyebiritoni,br,br,br,br,br,br,brètonu,بريٽن,bretonagiella,br,br,br,br,බ්‍රේටොන්,bretónčina,bretonščina,bretonkielâ,br,Biriton,bretonisht,бретонски,br,bretonska,Kibretoni,பிரெட்டன்,బ్రెటన్,br,бретонӣ,เบรตัน,ብረቶንኛ,breton dili,lea fakapeletoni,Bretonca,бретон,br,br,بىرېتونچە,бретонська,بریٹن,breton,br,Tiếng Breton,br,br,Breton,br,br,br,ברעטאניש,Èdè Bretoni,布列塔尼文,br,布列塔尼语,isi-Breton
brx,Bodo,brx,brx,ቦዶ,البودو,বড়ো,brx,bodo,bodo,brx,бода,brx,brx,бодо,brx,বোড়ো,brx,bodo,बड़ो,bodo,bodo,𑄝𑄮𑄢𑄮,бодо,brx,brx,ᏉᏙ,بۆدۆ,bodoština,Bodo,bodo,brx,Bodo,brx,brx,bodo,brx,brx,brx,brx,bodogbe,Μπόντο,Bodo,brx,bodo,bodo,bodoera,brx,بودویی,brx,bodo,Bodo,bodo,bodo,brx,Bodo,Bódóis,Bodo,bodo,brx,બોડો,brx,brx,Bodo,brx,בודו,बोडो,bodo,bodo,bodo,բոդո,bodo,Bodo,Bọdọ,brx,bódó,bodo,ボド語,brx,brx,Bodo,ბოდო,brx,brx,brx,bodo,brx,brx,бодо тілі,brx,brx,brx,បូដូ,ಬೋಡೊ,보도어,बोडो,brx,brx,brx,Boddo,brx,brx,бодочо,brx,Bodo,brx,brx,brx,ໂບດູ,بودو,bodo,brx,brx,brx,bodo,brx,brx,brx,brx,brx,brx,brx,brx,бодо,ബോഡോ,бодо,brx,बोडो,Bodo,Bodo,brx,ဗိုဒို,بدویی,brx,bodo,brx,बोडो,Bodo,brx,bodo,brx,bodo,brx,brx,brx,ବୋଡୋ,brx,ਬੋਡੋ,Bódo Lángwej,bodo,بودو,bodo,Bodo Simi,bodo,brx,bodo,brx,бодо,brx,brx,brx,brx,brx,brx,brx,bodo,بودو,brx,brx,brx,brx,brx,බොඩො,bodo,bodojščina,bodokielâ,brx,Bodo,bodoisht,бодо,brx,bodo,Kibodo,போடோ,బోడో,brx,brx,โพโฑ,ቦዶ,bodo dili,lea fakapōto,Bodo,brx,brx,brx,بودوچە,бодо,بوڈو,bodo,brx,Tiếng Bodo,brx,brx,brx,brx,brx,brx,brx,Èdè Bódò,博多文,brx,博多语,isi-Bodo
bs,Bosnies,bs,bs,ቦስኒያንኛ,البوسنية,বছনীয়,bs,bosniu,bosniya,bs,баснійская,bs,bs,босненски,bs,বসনীয়ান,bs,bosneg,बोस्नियाई,bosanski,bosnià,𑄝𑄧𑄥𑄴𑄚𑄩𑄠𑄚𑄴,боснийн,bs,bs,ᏆᏍᏂᎠᏂ,بۆسنی,bosenština,Bosnieg,bosnisk,bs,Bosnisch,bs,bs,bosnišćina,bs,bs,བྷོས་ནི་ཡཱན་ཁ,bs,bosniagbe,Βοσνιακά,Bosnian,bosnia,bosnio,bosnia,bosniera,bs,بوسنیایی,bs,bosnia,Bosnian,bosniskt,bosniaque,bosniac,Bosnysk,Boisnis,Bosnais,bosníaco,Bosnisch,બોસ્નિયન,bs,bs,Bosniyanci,bs,בוסנית,बोस्नियाई,bosanski,bosnišćina,bosnyák,բոսնիերեն,bosniaco,Bosnia,Bosnia,bs,bosníska,bosniaco,ボスニア語,bs,bs,Bosnia lan Hercegovina,ბოსნიური,bs,bs,bs,bosniu,bs,bs,босния тілі,bs,bs,bs,បូស្នី,ಬೋಸ್ನಿಯನ್,보스니아어,बोस्नियन,بوسنِیَن,bs,bs,Boßnesch,bosnî,bs,боснийче,bs,Bosnesch,bs,Bosnia Iyápi,bs,ບອສນຽນ,بوسنیایی,bosnių,bs,bs,bs,bosniešu,bs,bs,bs,bs,bs,bs,bs,bs,босански,ബോസ്നിയൻ,босни,bs,बोस्नियन,Bosnia,Bożnijaku,bs,ဘော့စ်နီးယား,بوسنیایی,bs,bosnisk,bs,बोस्नियाली,Bosnisch,bs,bosnisk,bs,bosnisk,bs,bs,Afaan Bosniyaa,ବୋସନିଆନ୍,босниаг,ਬੋਸਨੀਆਈ,Bọ́sniá Lángwej,bośniacki,بوسني,bósnio,Bosnio Simi,bosniac,bs,bosniacă,bs,боснийский,Inyebosiniya,bs,bs,Босныйалыы,bs,bs,bs,bosnìacu,بوسنيائي,bosniagiella,bs,bs,bs,bs,බොස්නියානු,bosniačtina,bosanščina,bosniakielâ,bs,Bosniyaan,boshnjakisht,босански,bs,bosniska,Kibosnia,போஸ்னியன்,బోస్నియన్,bs,босниягӣ,บอสเนีย,ቦዝንኛ,bosniýa dili,lea fakaposinia,Boşnakça,босния,bs,bs,بوسىنچە,боснійська,بوسنیائی,bosniy,bs,Tiếng Bosnia,bs,Bosniš,Bosñak,bs,bs,bs,באסניש,Èdè Bosnia,波士尼亞文,bs,波斯尼亚语,isi-Bosnian
